"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"4751","vWKag8Pnq2bRBfFz","vWKag8Pnq2bRBfFz2",2,25,"Hard","Heroic-25m",85.197,111.6988,122,122
"4752","vWKag8Pnq2bRBfFz","vWKag8Pnq2bRBfFz4",4,25,"Hard","Heroic-25m",82.046,102.72,124,124
"4753","vWKag8Pnq2bRBfFz","vWKag8Pnq2bRBfFz5",5,25,"Hard","Heroic-25m",81.768,103.6572,114,114
"4754","vWKag8Pnq2bRBfFz","vWKag8Pnq2bRBfFz7",7,25,"Hard","Heroic-25m",75.55,103.234,115,116
"4755","vWKag8Pnq2bRBfFz","vWKag8Pnq2bRBfFz8",8,25,"Hard","Heroic-25m",76.578,104.4764,120,120
"4756","vY2rGTM3fywJhCFz","vY2rGTM3fywJhCFz1",1,25,"Hard","Heroic-25m",48.625,118.6424,110,113
"4757","vYn8c2xhypqBFNAH","vYn8c2xhypqBFNAH19",19,25,"Hard","Heroic-25m",55.081,100.5872,134,142
"4758","vYn8c2xhypqBFNAH","vYn8c2xhypqBFNAH20",20,25,"Hard","Heroic-25m",58.348,136.4928,135,140
"4759","vYn8c2xhypqBFNAH","vYn8c2xhypqBFNAH21",21,25,"Normal","Normal-25m",131.154,106.7044,389,404
"4760","vcX9BaNHfpVhFQkj","vcX9BaNHfpVhFQkj1",1,25,"Hard","Heroic-25m",69.6,101.2952,126,126
"4761","vcX9BaNHfpVhFQkj","vcX9BaNHfpVhFQkj2",2,25,"Hard","Heroic-25m",76.195,112.896,143,147
"4762","vcX9BaNHfpVhFQkj","vcX9BaNHfpVhFQkj4",4,25,"Hard","Heroic-25m",79.379,108.6788,130,130
"4763","vctbr93mBN8kpFxW","vctbr93mBN8kpFxW13",13,25,"Hard","Heroic-25m",58.283,108.2324,134,137
"4764","vctbr93mBN8kpFxW","vctbr93mBN8kpFxW15",15,25,"Hard","Heroic-25m",58.354,109.6756,130,133
"4765","vctbr93mBN8kpFxW","vctbr93mBN8kpFxW16",16,25,"Hard","Heroic-25m",64.881,109.6028,136,136
"4766","vctbr93mBN8kpFxW","vctbr93mBN8kpFxW17",17,25,"Hard","Heroic-25m",58.276,112.794,108,111
"4767","vctbr93mBN8kpFxW","vctbr93mBN8kpFxW18",18,25,"Normal","Normal-25m",111.716,102.7736,316,323
"4768","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA623",23,25,"Hard","Heroic-25m",60.288,152.9768,169,183
"4769","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA626",26,25,"Hard","Heroic-25m",55.158,115.1044,121,129
"4770","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA627",27,25,"Hard","Heroic-25m",58.307,115.5444,160,175
"4771","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA628",28,25,"Hard","Heroic-25m",55.472,108.7332,149,166
"4772","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA629",29,25,"Hard","Heroic-25m",58.332,132.794,155,171
"4773","vdYmBTaZ43XkgLA6","vdYmBTaZ43XkgLA630",30,25,"Hard","Heroic-25m",64.856,134.528,136,146
